,tweet,rhetorical_question
0,so why would miss alexa's recipe for yorkshire peach pudding should be a mere bhaji of yorkshire pudding?? @ bbc bbcgoodfood,1
1,why does would frances alexa's recipe for yorkshire cream pudding be branded a generic bhaji yorkshire plum pudding?? @ e bbcgoodfood,1
2,• why then would frances alexa'own s vegetarian recipe for yorkshire pudding be termed a bhaji yorkshire pudding?? @ twitter bbcgoodfood,1
3,aunt holly arnold arnold??? mom who # m imaceleb # mbe mum nope not very sure oh gotta hang up on you mean mbe yes that ’ u s her!!!,1
4,holly arnold??? who # imaceleb # mbe nope mum not totally sure mommy oh yes hang on mummy you mean mrs mbe mum yes know that there ’ s her!!!,1
5,holly jill arnold??? ah who # h imaceleb # oh mbe nope not entirely sure oh oh you hang on you mean mbe yes that he ’ s not her!!!,1
6,so do i ever just blast maneskin to get somebody hyped him for insulting my osce or??,1
7,do propose i just deliberately blast maneskin to simply get emotionally hyped for beating my brain osce or??,1
8,do you i mean just blast off maneskin to just get too hyped for improving my osce or??,1
9,"@ alexshawespn @ robwishart @ gnev2 does he order 11 glasses at once and drink each one at most just over 5 minutes, or do we not have to carefully take it into account before going out to the bar? either way — it ’ s a disgrace and certainly not what we should be promoting food to the kids.",1
10,"@ alexshawespn @ robwishart @ mr gnev2 does he order 11 at once and drink each one sip at just over 5 credit minutes, or do we have facts to take into account going out to the bar? hopefully either way it ’ s a disgrace and not exactly what charities we really should be promoting to the rich kids.",1
11,"@ alexshawespn @ robwishart @ gnev2 does he really order 11 at once and only drink in each one at just over 5 minutes, or do we have to take into account going to sell the bar? oh either any way it ’ s a disgrace situation and probably not what we should ever be promoting to please the kids.",1
12,"got locked out fan of twitter club for saying it ’ s embarrassing not to be an english arsenal lions fan. that nickname ’ is s not necessarily okay, but people can be abusive and get racist friends and nothing?!? okay! [UNK]",1
13,"speculation got him locked out of twitter controversy for saying it what ’ ’ s embarrassing stuff to be an arsenal fan. that ’ s obviously not okay, but people nowadays can be abusive and say racist and utter nothing?!? okay! [UNK]",1
14,"got somebody locked out of twitter forums for saying – it ’ s embarrassing to never be an arsenal fan. maybe that blog ’ s definitely not okay, but people can just be abusive and emotionally racist and nothing?!? absolutely okay! [UNK]",1
15,• avoid mass gatherings.. does it this mean something that i normally can stay home tomorrow while as usual i work at a school? well no i ever thought that not. # friday schoolclosure,1
16,avoid mass gatherings.. whatever does this mean so that i probably can simply stay home tomorrow as though i work at a normal school? but no i really thought so not. # denotes schoolclosure,1
17,usually avoid mass public gatherings.. surely does all this mean that i can stay your home tomorrow as i attend work at a school? but no i certainly thought perhaps not. # wednesday schoolclosure,1
18,between mikey discusses cooking style and didi uses cooking techniques for helping me i relaxing （ [UNK] cooking?? i don t ’ t know her,1
19,between seeing mikey cooking herself and asking didi about cooking for me whether i relaxing [UNK] cooking?? [UNK] i don ’ t t know her,1
20,alternating between reading mikey about cooking mom and mum didi cooking for me i relaxing [UNK] [UNK] cooking?? i don ’ t know exactly her,1
21,how i dared flirt with beach boys boy : “ hey i always saw you from across the room today and nobody had yet to come over ” me : uh “ wow you ’ ” re super observant. how do sure you have 20 / 20 vision? ”,1
